Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
26	-27.33	49.39537	23.79	-94.12	-508.28094	0.003003432	-508.28	-508.29	1454.3334	828.1	129999	-5.203338	0.050255876	-5.116535	-5.4708266	-5.205949	1.4702604	23.260115	-733.02985	72.15841	4091.6279821395874
27	-303.66998	203.17	-100.5	-506.84	-31.550003	0.029999541	-31.54	-31.64	1622.5	1935.0	134999	-5.2885227	0.04320904	-5.213559	-5.5205965	-5.2921476	1.7140578	11.557964	-781.4786	60.77929	4303.830459833145
28	-72.59667	25.907925	-36.58	-96.43	-506.31998	3.0517578e-05	-506.32	-506.32	2460.6667	632.0	139999	-5.3652124	0.042833548	-5.288045	-5.5882964	-5.3671474	1.561653	12.073563	-645.1301	55.690742	4467.913101196289
29	-364.87332	201.1593	-80.49	-513.56	-508.28192	0.0059971893	-508.28	-508.3	1266.6666	828.2	144999	-5.4558415	0.046721883	-5.3421383	-5.7603803	-5.4560804	1.7360398	21.510607	-666.5022	80.94555	4639.619252204895
30	-518.98	6.410004	-512.57	-525.39	-48.623	0.050408613	-48.59	-48.7	1898.0	2090.3	149999	-5.535216	0.04061095	-5.4566207	-5.760546	-5.537725	1.1918619	9.305906	-609.0725	61.266193	4856.287745952606
31	-224.11	205.88313	-52.3	-513.59	-506.31796	0.0060060113	-506.3	-506.32	2145.0	631.8	154999	-5.6035	0.04329547	-5.5236216	-5.815182	-5.603973	1.3673221	31.619808	-601.72437	72.953766	5021.55558514595
32	-230.27333	198.10123	-81.81	-510.26	-508.28094	0.003003432	-508.28	-508.29	1988.0	828.1	159999	-5.684239	0.047811795	-5.6011333	-5.937691	-5.6843314	0.69668293	3.9739594	-314.5091	85.50462	5193.42463517189
33	-227.42	193.19464	-88.07	-500.62	-31.330002	0.030000115	-31.32	-31.42	1669.3334	1933.0	164999	-5.76959	0.053619914	-5.6810064	-6.1377974	-5.770323	1.4060581	41.490173	-611.4833	82.259415	5408.104127407074
34	-59.406666	33.208355	-12.53	-85.32	-508.27997	3.0517578e-05	-508.28	-508.28	1618.3334	828.0	169999	-5.8256044	0.052767754	-5.750486	-6.175928	-5.827297	0.87238336	32.92422	-462.0377	73.73477	5580.311512231827
35	-224.54333	196.21025	-81.92	-501.99	-26.310001	0.05000019	-26.26	-26.36	1685.0	1887.0	174999	-5.8917365	0.052960534	-5.8128858	-6.23309	-5.891962	1.1030245	0.93087053	-696.3348	60.036037	5792.220457792282
36	-63.52667	38.882347	-8.83	-95.77	-55.53	0.029999541	-55.52	-55.62	1697.0	2153.0	179999	-5.93997	0.053677786	-5.86626	-6.335869	-5.942934	1.5109082	22.094011	-649.42725	67.41843	6011.682237148285
37	-280.2	245.68001	-34.52	-525.88	-506.31998	3.0517578e-05	-506.32	-506.32	1320.5	632.0	184999	-6.0009756	0.054477286	-5.9238963	-6.4028544	-6.000606	1.0150118	14.4269085	-564.3766	74.17345	6177.432263612747
38	-229.12999	208.63489	-76.3	-524.12	-506.31796	0.0060060113	-506.3	-506.32	2397.0	631.8	189999	-6.057252	0.051594447	-5.991517	-6.4859653	-6.058733	1.0906337	55.165276	-523.26746	66.23045	6342.764969110489
39	-299.54498	202.665	-96.88	-502.21	-508.27997	3.0517578e-05	-508.28	-508.28	1375.0	828.0	194999	-6.126304	0.061158467	-6.04527	-6.575588	-6.1268983	0.6013249	1.9837599	-123.254364	87.68953	6517.228426456451
40	-378.78336	198.38599	-98.3	-524.71	-506.31998	3.0517578e-05	-506.32	-506.32	2115.3333	632.0	199999	-6.196455	0.06200882	-6.101059	-6.6967344	-6.196006	0.542888	8.592398	-101.277725	89.4308	6682.802093505859
