Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
27	-25.31	16.699999	-8.61	-42.01	-20.009	2.0454464	-16.88	-21.45	2423.0	2107.2	134999	37.972004	0.29120827	38.79517	35.13491	37.97127	0.33310562	39.038868	34.85242	7.6874843	5576.5959684848785
28	-30.08	13.809999	-16.27	-43.89	-24.696	0.6080822	-23.69	-25.17	2578.5	2288.1	139999	38.32671	0.26413584	39.05672	35.63705	38.326168	0.3155228	39.515915	35.017807	8.125193	5832.201293706894
29	-91.4825	43.10192	-18.77	-131.66	-53.193	48.297	-4.87	-101.5	1600.5	1133.1	144999	38.50657	0.2700524	39.21791	34.888172	38.50603	0.3161481	39.53039	34.07836	8.313461	6013.156622171402
30	-88.729996	26.19652	-43.37	-104.42	-19.84	1.4949313	-18.33	-21.61	1091.0	2106.8	149999	38.65581	0.2931525	39.44565	36.553265	38.654827	0.33475697	39.833023	35.947273	7.876766	6274.974581956863
31	-25.43	17.64	-7.79	-43.07	-21.471998	0.5309953	-20.88	-22.13	2054.0	2140.5	154999	38.828632	0.26340917	39.509605	36.38553	38.828136	0.31051156	39.874702	36.141605	9.529615	6577.951001167297
32	-33.845	16.025	-17.82	-49.87	-20.804998	0.60556155	-20.28	-21.61	2670.0	2113.7	159999	38.847336	2.2481544	292.4799	28.894135	38.821045	0.30470178	39.819096	35.26514	14.056103	6839.478443145752
33	-56.583332	39.90647	-15.07	-110.45	-59.195995	42.29613	-16.61	-101.5	1921.3334	1132.2	164999	39.41694	0.34197712	40.13761	37.56165	39.416504	0.40384322	40.499847	36.35376	9.053511	7046.809937477112
34	-25.24	20.51	-4.73	-45.75	-12.457	0.19779028	-12.26	-12.76	2015.0	2108.3	169999	40.035618	0.2657895	40.75724	37.401913	40.0349	0.31639922	41.105766	36.961437	8.787832	7302.930134057999
35	-27.08	14.7	-12.38	-41.78	-20.67	0.7606837	-19.49	-21.23	2453.0	2100.4	174999	40.14714	0.2577209	40.79258	36.928715	40.146687	0.2968424	41.173775	36.582726	8.814137	7558.224622488022
36	-84.32	48.5562	-16.9	-129.32	-21.578	0.53620505	-20.9	-22.13	1792.3334	2138.9	179999	40.11899	0.24225694	40.672604	37.707954	40.118156	0.28032258	41.092556	37.47833	7.7001357	7815.880451202393
37	-70.380005	56.7	-13.68	-127.08	-19.852	1.5203999	-18.28	-21.67	2050.5	2108.3	184999	40.214104	0.2538277	40.840057	37.576748	40.2133	0.2990527	41.31948	36.754566	8.778423	8070.819293022156
38	-58.643337	36.45341	-23.12	-108.76	-12.789999	10.108257	-4.48	-25.17	2136.0	2188.2	189999	40.14828	0.264452	40.81337	37.545696	40.14764	0.30777076	41.06689	37.229183	8.991413	8326.642811775208
39	-79.22	56.072884	-0.53	-127.06	-19.807001	1.4725083	-18.28	-21.59	1532.6666	2106.0	194999	40.085655	0.268533	40.765137	37.530228	40.0848	0.30841097	41.421368	37.2469	9.600257	8581.839139223099
40	-54.430004	37.91804	-13.11	-104.69	-22.727	0.49144775	-21.71	-23.01	1688.6666	2195.2	199999	40.021	0.23918314	40.57562	37.57476	40.02058	0.27763817	40.9996	37.06652	8.273068	8836.317838907242
