Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
27	-63.3525	40.91696	-15.27	-104.61	-60.190002	46.0	-14.19	-106.19	1231.25	1221.0	134999	36.298428	0.31717962	37.313957	33.72513	36.29952	0.27566662	36.89049	33.986053	15.534904	3547.8010578155518
28	-91.58	31.577034	-29.42	-117.91	-29.689999	27.073336	-20.66	-110.91	1046.0	1855.4	139999	36.638103	0.33912313	38.0316	34.1264	36.63886	0.3027292	37.375248	34.258335	16.812227	3714.220666885376
29	-49.849995	39.376423	-16.88	-105.2	-21.900002	0.24223983	-21.74	-22.27	1454.3334	2003.3	144999	36.886925	0.32149118	37.968678	34.32536	36.887627	0.28190008	37.460804	34.325397	17.347435	3895.0562472343445
30	-27.49	2.617836	-23.79	-29.45	-22.111002	0.24287683	-21.74	-22.27	2315.3333	2015.7	149999	37.18051	0.33815467	38.059296	34.995117	37.181427	0.3037063	37.96336	35.023514	14.511824	4090.942020177841
31	-20.89	11.570776	-4.55	-29.82	-109.371994	0.25635248	-109.2	-109.77	1657.6666	938.2	154999	37.381203	0.3132813	38.251354	34.1665	37.38204	0.2804248	38.021027	34.336044	15.562522	4252.6250872612
32	-53.656666	34.743214	-28.82	-102.79	-73.79701	44.229214	-19.6	-109.92	1667.6666	1350.4	159999	37.562157	0.30717647	38.586937	35.147686	37.562794	0.27827984	38.077183	35.09027	15.218997	4440.5871613025665
33	-75.965004	43.328026	-3.53	-113.17	-53.022003	45.158794	-16.15	-108.33	837.0	1426.8	164999	37.850163	0.29671118	38.632755	35.719746	37.85049	0.27375263	38.458447	35.62612	16.184608	4631.259013175964
34	-44.92	43.048283	-1.51	-103.59	-11.301001	0.38035375	-10.72	-11.55	1001.6667	1819.3	169999	38.080647	0.3135034	39.01772	35.66937	38.08138	0.28943717	38.75636	35.687943	15.394223	4834.751242637634
35	-24.823334	4.1178985	-19.16	-28.83	-11.16	0.35519004	-10.72	-11.45	2276.3333	1818.2	174999	38.475544	0.30547884	39.48301	35.91715	38.476116	0.27987596	39.10948	36.02271	15.667046	5039.085924386978
36	-73.95167	42.52296	-0.82	-103.83	-53.54	47.650005	-5.89	-101.19	694.8333	971.0	179999	38.695675	0.28932914	39.556072	36.061275	38.696033	0.2654351	39.332584	36.200325	14.289601	5213.189393997192
37	-69.004	43.14844	-6.35	-104.85	-18.616001	0.07578908	-18.51	-18.71	933.6	1840.9	184999	38.66623	0.3281779	39.660194	35.798626	38.66685	0.30315357	39.25791	35.798103	18.05724	5418.39754986763
38	-50.803333	39.888954	-16.04	-106.66	-89.894005	36.872	-16.15	-108.33	1547.6666	1031.6	189999	38.613136	0.2947539	39.56852	36.348038	38.613525	0.27254066	39.199535	36.205265	14.627492	5595.289080381393
39	-88.805	35.267307	-28.76	-119.4	-51.118	44.93344	-14.43	-106.15	1248.5	1339.6	194999	38.898216	0.29497313	39.66488	35.57294	38.898857	0.2692554	39.534256	35.974617	14.115535	5783.752534866333
40	-24.976667	5.2920656	-17.57	-29.61	-63.069	46.68646	-5.89	-101.19	2209.3333	800.7	199999	38.902405	0.28591466	39.77344	36.72977	38.902893	0.2622834	39.612278	36.663525	15.689505	5952.847469329834
